순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,왕과 사는 남자,장항준,"(주)온다웍스,(주)비에이엔터테인먼트",,(주)쇼박스,2026-02-04,개봉영화,장편,한국,"1,724","162,768,079,060","16,863,656","34,824,031,810","3,492,356",사극,12세이상관람가,일반영화
2,서울의 봄,김성수,(주)하이브미디어코프,,메가박스중앙(주) 플러스엠 엔터테인먼트,2023-11-22,개봉영화,장편,한국,"2,328","127,926,951,712","13,128,080","29,336,875,104","2,956,518",드라마,12세이상관람가,일반영화
3,파묘,장재현,(주)쇼박스,,(주)쇼박스,2024-02-22,개봉영화,장편,한국,"2,355","115,148,478,414","11,913,725","26,979,812,331","2,723,228",미스터리,15세이상관람가,일반영화
4,범죄도시4,허명행,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트",2024-04-24,개봉영화,장편,한국,"2,980","110,038,420,734","11,501,621","22,859,743,231","2,314,667",액션,15세이상관람가,일반영화
5,범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주) 플러스엠 엔터테인먼트",2023-05-31,개봉영화,장편,한국,"2,582","104,687,737,771","10,682,813","22,152,818,269","2,215,433",범죄,15세이상관람가,일반영화
6,인사이드 아웃 2,켈시 만,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2024-06-12,개봉영화,장편,미국,"2,619","84,509,284,036","8,799,013","22,334,734,771","2,218,355",애니메이션,전체관람가,일반영화
7,베테랑2,류승완,(주)외유내강,,(주)씨제이이엔엠,2024-09-13,개봉영화,장편,한국,"2,691","72,474,035,814","7,525,339","14,954,292,776","1,489,640",액션,15세이상관람가,일반영화
8,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-14,개봉영화,장편,미국,"1,251","71,129,945,066","7,239,288","19,102,254,019","1,883,280",애니메이션,전체관람가,일반영화
9,아바타: 불과 재,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-12-17,개봉영화,장편,미국,"2,582","78,912,610,960","6,744,610","20,611,979,760","1,612,310",SF,12세이상관람가,일반영화
10,주토피아 2,"재러드 부시,바이론 하워드",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2025-11-26,개봉영화,장편,미국,"2,383","62,727,690,490","6,504,574","16,382,398,220","1,610,429",애니메이션,전체관람가,일반영화
11,좀비딸,필감성,스튜디오엔(주),,(주)넥스트엔터테인먼트월드(NEW),2025-07-30,개봉영화,장편,한국,"1,598","53,139,332,990","5,640,423","10,312,571,340","1,045,683",코미디,12세이상관람가,일반영화
12,극장판 귀멸의 칼날: 무한성편,소토자키 하루오,,주식회사 애니맥스브로드캐스팅코리아,(주)씨제이이엔엠,2025-08-22,개봉영화,장편,일본,"2,298","60,271,624,740","5,588,011","15,611,502,300","1,352,645",애니메이션,15세이상관람가,일반영화
13,F1 더 무비,조셉 코신스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2025-06-25,개봉영화,장편,미국,"1,665","54,928,849,030","5,213,527","18,564,835,270","1,672,150",드라마,12세이상관람가,일반영화
